376,607,"Aarhus","Aarhus","Denmark","AAR","EKAH",56.30,10.61,82,1,"E"
646,1055,"Lanzarote","Las Palmas","Spain","ACE","GCRR",28.94,-13.60,47,0,"E"
682,1107,"Bole Intl","Addis Ababa","Ethiopia","ADD","HAAB",8.97,38.79,7656,3,"U"
1790,3341,"Adelaide Intl","Adelaide","Australia","ADL","YPAD",-34.94,138.53,20,9,"O"
1454,2442,"Aeroparque Jorge Newbery","Buenos Aires","Argentina","AEP","SABE",-34.55,-58.41,18,-3,"N"
1484,2522,"Santa Maria","Aracaju","Brazil","AJU","SBAR",-10.98,-37.07,23,-3,"S"
1323,2006,"Auckland Intl","Auckland","New Zealand","AKL","NZAA",-37.00,174.79,23,12,"Z"
746,1212,"Alicante","Alicante","Spain","ALC","LEAL",38.28,-0.55,142,1,"E"
1373,2170,"Queen Alia Intl","Amman","Jordan","AMM","OJAI",31.72,35.99,2395,2,"E"
353,580,"Schiphol","Amsterdam","Netherlands","AMS","EHAM",52.30,4.76,-11,1,"E"
1103,1683,"Etimesgut","Ankara","Turkey","ANK","LTAD",39.94,32.68,2653,2,"E"
19,299,"Deurne","Antwerp","Belgium","ANR","EBAW",51.18,4.46,39,1,"E"
1606,2874,"V C Bird Intl","Antigua","Antigua and Barbuda","ANU","TAPA",17.13,-61.79,62,-4,"U"
1315,1969,"Faleolo Intl","Faleolo","Samoa","APW","NSFA",-13.82,-172.00,58,-11,"U"
1374,2172,"Aqaba King Hussein Intl","Aqaba","Jordan","AQJ","OJAQ",29.61,35.01,175,2,"E"
512,737,"Arlanda","Stockholm","Sweden","ARN","ESSA",59.65,17.91,137,1,"E"
1558,2699,"Silvio Pettirossi Intl","Asuncion","Paraguay","ASU","SGAS",-25.23,-57.51,292,-4,"S"
2033,3941,"Eleftherios Venizelos Intl","Athens","Greece","ATH","LGAV",37.93,23.94,308,2,"E"
1620,2895,"Reina Beatrix Intl","Oranjestad","Aruba","AUA","TNCA",12.50,-70.01,60,-4,"U"
1377,2179,"Abu Dhabi Intl","Abu Dhabi","United Arab Emirates","AUH","OMAA",24.43,54.65,88,4,"U"
854,1361,"Caumont","Avignon","France","AVN","LFMV",43.90,4.90,124,1,"E"
1107,1688,"Antalya","Antalya","Turkey","AYT","LTAI",36.89,30.80,177,2,"E"
756,1218,"Barcelona","Barcelona","Spain","BCN","LEBL",41.29,2.07,12,1,"E"
1141,1739,"Beograd","Belgrade","Serbia","BEG","LYBE",44.81,20.30,335,1,"E"
215,8420,"Berlin Brandenburg Willy Brandt","Berlin","Germany","BER","EDDB",52.36,13.50,154,1,"E"
1607,2875,"Grantley Adams Intl","Bridgetown","Barbados","BGI","TBPB",13.07,-59.49,169,-4,"U"
754,1216,"Bilbao","Bilbao","Spain","BIO","LEBB",43.30,-2.91,138,1,"E"
2020,3885,"Suvarnabhumi Intl","Bangkok","Thailand","BKK","VTBS",13.68,100.74,5,7,"U"
377,608,"Billund","Billund","Denmark","BLL","EKBI",55.74,9.15,247,1,"E"
995,1538,"Bologna","Bologna","Italy","BLQ","LIPE",44.53,11.28,123,1,"E"
2253,8488,"Hauptbahnhof","Bonn","Germany","BNJ","\N",50.73,7.09,204,1,"E"
1316,1989,"Bora Bora","Bora Bora","French Polynesia","BOB","NTTB",-16.44,-151.75,10,-10,"U"
1561,2709,"Eldorado Intl","Bogota","Colombia","BOG","SKBO",4.70,-74.14,8361,-5,"U"
1031,1588,"Turany","Brno","Czech Republic","BRQ","LKTB",49.15,16.69,778,1,"E"
20,302,"Brussels Natl","Brussels","Belgium","BRU","EBBR",50.90,4.48,184,1,"E"
1487,2531,"Presidente Juscelino Kubitschek","Brasilia","Brazil","BSB","SBBR",-15.87,-47.91,3479,-3,"S"
1151,1745,"M R Stefanik","Bratislava","Slovakia","BTS","LZIB",48.17,17.21,436,1,"E"
953,1489,"Ferihegy","Budapest","Hungary","BUD","LHBP",47.43,19.25,495,1,"E"
1488,2533,"Boa Vista","Boa Vista","Brazil","BVB","SBBV",2.84,-60.69,276,-4,"S"
1123,1718,"Imsik","Bodrum","Turkey","BXN","LTBV",37.14,27.66,202,2,"E"
1308,1957,"Philip S W Goldson Intl","Belize City","Belize","BZE","MZBZ",17.53,-88.30,15,-6,"U"
693,1128,"Cairo Intl","Cairo","Egypt","CAI","HECA",30.12,31.40,382,2,"U"
1808,3370,"Baiyun Intl","Guangzhou","China","CAN","ZGGG",23.39,113.29,50,8,"U"
1294,1895,"Cap Haitien Intl","Cap Haitien","Haiti","CAP","MTCH",19.73,-72.19,10,-5,"U"
2235,5674,"Praia International Airport","""Praia","Santiago Island""","Cape Verde","RAI",,14.92,-23,230,"-1"
1798,3355,"Canberra","Canberra","Australia","CBR","YSCB",-35.30,149.19,1886,10,"O"
866,1382,"Charles De Gaulle","Paris","France","CDG","LFPG",49.01,2.55,392,1,"E"
2029,3932,"Chiang Rai Intl","Chiang Rai","Thailand","CEI","VTCT",19.95,99.88,1280,7,"U"
1529,2618,"Congonhas","Sao Paulo","Brazil","CGH","SBSP",-23.62,-46.65,2631,-3,"S"
27,344,"Koln Bonn","Cologne","Germany","CGN","EDDK",50.86,7.14,302,1,"E"
1490,2538,"Campo Grande","Campo Grande","Brazil","CGR","SBCG",-20.46,-54.67,1833,-4,"S"
1325,2009,"Christchurch Intl","Christchurch","New Zealand","CHC","NZCH",-43.48,172.53,123,12,"Z"
939,1474,"Souda","Chania","Greece","CHQ","LGSA",35.53,24.14,490,2,"E"
1565,2715,"Alfonso Bonilla Aragon Intl","Cali","Colombia","CLO","SKCL",3.54,-76.38,3162,-5,"U"
1696,3024,"Bandaranaike Intl Colombo","Colombo","Sri Lanka","CMB","VCBI",7.18,79.88,30,6,"U"
2028,3931,"Chiang Mai Intl","Chiang Mai","Thailand","CNX","VTCC",18.76,98.96,1036,7,"U"
379,609,"Kastrup","Copenhagen","Denmark","CPH","EKCH",55.61,12.65,17,1,"E"
530,797,"Cape Town Intl","Cape Town","South Africa","CPT","FACT",-33.96,18.60,151,2,"U"
1564,2714,"Rafael Nunez","Cartagena","Colombia","CTG","SKCG",10.44,-75.51,4,-5,"U"
